Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
JLHL,JUPITER LIFE LINE HOSPITALS LIMITED,JUPITER LIFE LINE HOSPITALS LIMITED,,,,
TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED,TEXMACO RAIL & ENGINEERING LIMITED,,,,
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,CAMPUS ACTIVEWEAR LIMITED,,,,
ITDCEM,ITD CEMENTATION INDIA LIMITED,ITD CEMENTATION INDIA LIMITED,,,,
SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED,SHRIRAM PISTONS & RINGS LIMITED,,,,
TIMETECHNO,TIME TECHNOPLAST LIMITED,TIME TECHNOPLAST LIMITED,,,,
SENCO,SENCO GOLD LIMITED,SENCO GOLD LIMITED,,,,
MASTEK,MASTEK LIMITED,MASTEK LIMITED,,,,
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,LLOYDS ENGINEERING WORKS LIMITED,,,,
BBOX,BLACK BOX LIMITED,BLACK BOX LIMITED,,,,
RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED,RATEGAIN TRAVEL TECHNOLOGIES LIMITED,,,,
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,,,,
CMSINFO,CMS INFO SYSTEMS LIMITED,CMS INFO SYSTEMS LIMITED,,,,
RUSTOMJEE,KEYSTONE REALTORS LIMITED,KEYSTONE REALTORS LIMITED,,,,
MAXESTATES,MAX ESTATES LIMITED,MAX ESTATES LIMITED,,,,
VARROC,VARROC ENGINEERING LIMITED,VARROC ENGINEERING LIMITED,,,,
PGHL,PROCTER & GAMBLE HEALTH LIMITED,PROCTER & GAMBLE HEALTH LIMITED,,,,
MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED,MAHARASHTRA SEAMLESS LIMITED,,,,
HEG,HEG LIMITED,HEG LIMITED,,,,
RELIGARE,RELIGARE ENTERPRISES LIMITED,RELIGARE ENTERPRISES LIMITED,,,,
AVANTIFEED,AVANTI FEEDS LIMITED,AVANTI FEEDS LIMITED,,,,
ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED,ARCHEAN CHEMICAL INDUSTRIES LIMITED,,,,
EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED,EQUITAS SMALL FINANCE BANK LIMITED,,,,
SYRMA,SYRMA SGS TECHNOLOGY LIMITED,SYRMA SGS TECHNOLOGY LIMITED,,,,
STARCEMENT,STAR CEMENT LIMITED,STAR CEMENT LIMITED,,,,
BLUEJET,BLUE JET HEALTHCARE LIMITED,BLUE JET HEALTHCARE LIMITED,,,,
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,ASK AUTOMOTIVE LIMITED,,,,
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,GARWARE HI-TECH FILMS LIMITED,,,,
SANSERA,SANSERA ENGINEERING LIMITED,SANSERA ENGINEERING LIMITED,,,,
FDC,FDC LIMITED,FDC LIMITED,,,,
JUNIPER,JUNIPER HOTELS LIMITED,JUNIPER HOTELS LIMITED,,,,
MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED,MEDPLUS HEALTH SERVICES LIMITED,,,,
GALLANTT,GALLANTT ISPAT LIMITED,GALLANTT ISPAT LIMITED,,,,
KTKBANK,THE KARNATAKA BANK LIMITED,THE KARNATAKA BANK LIMITED,,,,
MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED,MAHINDRA LIFESPACE DEVELOPERS LIMITED,,,,
TCI,TRANSPORT CORPORATION OF INDIA LIMITED,TRANSPORT CORPORATION OF INDIA LIMITED,,,,
TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LIMITED,TVS SUPPLY CHAIN SOLUTIONS LIMITED,,,,
GANESHHOUC,GANESH HOUSING CORPORATION LIMITED,GANESH HOUSING CORPORATION LIMITED,,,,
ANURAS,ANUPAM RASAYAN INDIA LIMITED,ANUPAM RASAYAN INDIA LIMITED,,,,
GMRP&UI,GMR POWER AND URBAN INFRA LIMITED,GMR POWER AND URBAN INFRA LIMITED,,,,
SUNTECK,SUNTECK REALTY LIMITED,SUNTECK REALTY LIMITED,,,,
EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED,EQUINOX INDIA DEVELOPMENTS LIMITED,,,,
RTNPOWER,RATTANINDIA POWER LIMITED,RATTANINDIA POWER LIMITED,,,,
MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,,,,
RAJESHEXPO,RAJESH EXPORTS LIMITED,RAJESH EXPORTS LIMITED,,,,
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED,GARWARE TECHNICAL FIBRES LIMITED,,,,
EPIGRAL,EPIGRAL LIMITED,EPIGRAL LIMITED,,,,
JKPAPER,JK PAPER LIMITED,JK PAPER LIMITED,,,,
SHOPERSTOP,SHOPPERS STOP LIMITED,SHOPPERS STOP LIMITED,,,,
INFIBEAM,INFIBEAM AVENUES LIMITED,INFIBEAM AVENUES LIMITED,,,,
EPL,EPL LIMITED,EPL LIMITED,,,,
MOIL,MOIL LIMITED,MOIL LIMITED,,,,
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED,ASTRA MICROWAVE PRODUCTS LIMITED,,,,
CHEMPLASTS,CHEMPLAST SANMAR LIMITED,CHEMPLAST SANMAR LIMITED,,,,
SANDUMA,SANDUR MANGANESE & IRON ORES LIMITED,SANDUR MANGANESE & IRON ORES LIMITED,,,,
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED,AHLUWALIA CONTRACTS (INDIA) LIMITED,,,,
EMIL,ELECTRONICS MART INDIA LIMITED,ELECTRONICS MART INDIA LIMITED,,,,
DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED,DIAMOND POWER INFRASTRUCTURE LIMITED,,,,
TV18BRDCST,TV18 BROADCAST LIMITED   ,TV18 BROADCAST LIMITED   ,,,,
UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED,UJJIVAN SMALL FINANCE BANK LIMITED,,,,
SHILPAMED,SHILPA MEDICARE LIMITED,SHILPA MEDICARE LIMITED,,,,
INDIASHLTR,INDIA SHELTER FINANCE CORPORATION LIMITED,INDIA SHELTER FINANCE CORPORATION LIMITED,,,,
PARADEEP,PARADEEP PHOSPHATES LIMITED,PARADEEP PHOSPHATES LIMITED,,,,
ETHOSLTD,ETHOS LIMITED,ETHOS LIMITED,,,,
ICIL,INDO COUNT INDUSTRIES LIMITED,INDO COUNT INDUSTRIES LIMITED,,,,
VMART,V-MART RETAIL LIMITED,V-MART RETAIL LIMITED,,,,
LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED,LAXMI ORGANIC INDUSTRIES LIMITED,,,,
WELENT,WELSPUN ENTERPRISES LIMITED,WELSPUN ENTERPRISES LIMITED,,,,
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED,HINDUSTAN CONSTRUCTION COMPANY LIMITED,,,,
DBL,DILIP BUILDCON LIMITED,DILIP BUILDCON LIMITED,,,,
MIDHANI,MISHRA DHATU NIGAM LIMITED,MISHRA DHATU NIGAM LIMITED,,,,
PDSL,PDS LIMITED,PDS LIMITED,,,,
MANINFRA,MAN INFRACONSTRUCTION LIMITED,MAN INFRACONSTRUCTION LIMITED,,,,
IFBIND,IFB INDUSTRIES LIMITED,IFB INDUSTRIES LIMITED,,,,
TRANSRAILL,TRANSRAIL LIGHTING LIMITED,TRANSRAIL LIGHTING LIMITED,,,,
DHANUKA,DHANUKA AGRITECH LIMITED,DHANUKA AGRITECH LIMITED,,,,
TMB,TAMILNAD MERCANTILE BANK LIMITED,TAMILNAD MERCANTILE BANK LIMITED,,,,
ORCHPHARMA,ORCHID PHARMA LIMITED,ORCHID PHARMA LIMITED,,,,
NAZARA,NAZARA TECHNOLOGIES LIMITED,NAZARA TECHNOLOGIES LIMITED,,,,
RESPONIND,RESPONSIVE INDUSTRIES LIMITED,RESPONSIVE INDUSTRIES LIMITED,,,,
EMUDHRA,EMUDHRA LIMITED,EMUDHRA LIMITED,,,,
ARVINDFASN,ARVIND FASHIONS LIMITED,ARVIND FASHIONS LIMITED,,,,
DODLA,DODLA DAIRY LIMITED,DODLA DAIRY LIMITED,,,,
SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED,SUNDARAM FINANCE HOLDINGS LIMITED,,,,
BALUFORGE,BALU FORGE INDUSTRIES LIMITED,BALU FORGE INDUSTRIES LIMITED,,,,
TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,,,,
INDIGOPNTS,INDIGO PAINTS LIMITED,INDIGO PAINTS LIMITED,,,,
SUPRAJIT,SUPRAJIT ENGINEERING LIMITED,SUPRAJIT ENGINEERING LIMITED,,,,
BALAMINES,BALAJI AMINES LIMITED,BALAJI AMINES LIMITED,,,,
GREENLAM,GREENLAM INDUSTRIES LIMITED,GREENLAM INDUSTRIES LIMITED,,,,
SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,,,,
JINDWORLD,JINDAL WORLDWIDE LIMITED,JINDAL WORLDWIDE LIMITED,,,,
SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,,,,
UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,,,,
GABRIEL,GABRIEL INDIA LIMITED,GABRIEL INDIA LIMITED,,,,
ASHOKA,ASHOKA BUILDCON LIMITED,ASHOKA BUILDCON LIMITED,,,,
VIPIND,VIP INDUSTRIES LIMITED,VIP INDUSTRIES LIMITED,,,,
SURYAROSNI,SURYA ROSHNI LIMITED,SURYA ROSHNI LIMITED,,,,
BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED,ZINKA LOGISTICS SOLUTIONS LIMITED,,,,
KRBL,KRBL LIMITED,KRBL LIMITED,,,,
GOKEX,GOKALDAS EXPORTS LIMITED,GOKALDAS EXPORTS LIMITED,,,,
SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED,SHARDA MOTOR INDUSTRIES LIMITED,,,,
AMIORG,AMI ORGANICS LIMITED,AMI ORGANICS LIMITED,,,,
NESCO,NESCO LIMITED,NESCO LIMITED,,,,
KESORAMIND,KESORAM INDUSTRIES LIMITED,KESORAM INDUSTRIES LIMITED,,,,
HNDFDS,HINDUSTAN FOODS LIMITED,HINDUSTAN FOODS LIMITED,,,,
ORIENTCEM,ORIENT CEMENT LIMITED,ORIENT CEMENT LIMITED,,,,
SOUTHBANK,THE SOUTH INDIAN BANK LIMITED,THE SOUTH INDIAN BANK LIMITED,,,,
TARC,TARC LIMITED,TARC LIMITED,,,,
BORORENEW,BOROSIL RENEWABLES LIMITED,BOROSIL RENEWABLES LIMITED,,,,
TDPOWERSYS,TD POWER SYSTEMS LIMITED,TD POWER SYSTEMS LIMITED,,,,
EASEMYTRIP,EASY TRIP PLANNERS LIMITED,EASY TRIP PLANNERS LIMITED,,,,
NIITMTS,NIIT LEARNING SYSTEMS LIMITED,NIIT LEARNING SYSTEMS LIMITED,,,,
BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED,BANSAL WIRE INDUSTRIES LIMITED,,,,
RALLIS,RALLIS INDIA LIMITED,RALLIS INDIA LIMITED,,,,
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,PRIVI SPECIALITY CHEMICALS LIMITED,,,,
CEIGALL,CEIGALL INDIA LIMITED,CEIGALL INDIA LIMITED,,,,
JAICORPLTD,JAI CORP LIMITED,JAI CORP LIMITED,,,,
VSTIND,VST INDUSTRIES LIMITED,VST INDUSTRIES LIMITED,,,,
NFL,NATIONAL FERTILIZERS LIMITED,NATIONAL FERTILIZERS LIMITED,,,,
STLTECH,STERLITE TECHNOLOGIES LIMITED,STERLITE TECHNOLOGIES LIMITED,,,,
ICRA,ICRA LIMITED,ICRA LIMITED,,,,
PILANIINVS,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,,,,
ROLEXRINGS,ROLEX RINGS LIMITED,ROLEX RINGS LIMITED,,,,
AVL,ADITYA VISION LIMITED,ADITYA VISION LIMITED,,,,
GOCOLORS,GO FASHION (INDIA) LIMITED,GO FASHION (INDIA) LIMITED,,,,
UEL,UJAAS ENERGY LIMITED     ,UJAAS ENERGY LIMITED     ,,,,
GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED,GULF OIL LUBRICANTS INDIA LIMITED,,,,
LUXIND,LUX INDUSTRIES LIMITED,LUX INDUSTRIES LIMITED,,,,
PCJEWELLER,PC JEWELLER LIMITED,PC JEWELLER LIMITED,,,,
GMMPFAUDLR,GMM PFAUDLER LIMITED,GMM PFAUDLER LIMITED,,,,
GAEL,GUJARAT AMBUJA EXPORTS LIMITED,GUJARAT AMBUJA EXPORTS LIMITED,,,,
SHAREINDIA,SHARE INDIA SECURITIES LIMITED,SHARE INDIA SECURITIES LIMITED,,,,
IXIGO,LE TRAVENUES TECHNOLOGY LIMITED,LE TRAVENUES TECHNOLOGY LIMITED,,,,
AGI,AGI GREENPAC LIMITED,AGI GREENPAC LIMITED,,,,
LLOYDSENT,LLOYDS ENTERPRISES LIMITED,LLOYDS ENTERPRISES LIMITED,,,,
PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED,PRINCE PIPES AND FITTINGS LIMITED,,,,
PRICOLLTD,PRICOL LIMITED,PRICOL LIMITED,,,,
GHCL,GHCL LIMITED,GHCL LIMITED,,,,
ALLCARGO,ALLCARGO LOGISTICS LIMITED,ALLCARGO LOGISTICS LIMITED,,,,
JKIL,J.KUMAR INFRAPROJECTS LIMITED,J.KUMAR INFRAPROJECTS LIMITED,,,,
ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,,,,
TI,TILAKNAGAR INDUSTRIES LIMITED,TILAKNAGAR INDUSTRIES LIMITED,,,,
HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED,HEALTHCARE GLOBAL ENTERPRISES LIMITED,,,,
DBCORP,D.B.CORP LIMITED,D.B.CORP LIMITED,,,,
SIS,SIS LIMITED,SIS LIMITED,,,,
GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED,GUJARAT ALKALIES AND CHEMICALS LIMITED,,,,
RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED,R SYSTEMS INTERNATIONAL LIMITED,,,,
PTC,PTC INDIA LIMITED,PTC INDIA LIMITED,,,,
ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED,ENTERO HEALTHCARE SOLUTIONS LIMITED,,,,
SHARDACROP,SHARDA CROPCHEM LIMITED,SHARDA CROPCHEM LIMITED,,,,
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED,INOX GREEN ENERGY SERVICES LIMITED,,,,
AARTIPHARM,AARTI PHARMALABS LIMITED,AARTI PHARMALABS LIMITED,,,,
RAIN,RAIN INDUSTRIES LIMITED,RAIN INDUSTRIES LIMITED,,,,
CSBBANK,CSB BANK LIMITED,CSB BANK LIMITED,,,,
CYIENTDLM,CYIENT DLM LIMITED,CYIENT DLM LIMITED,,,,
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,THANGAMAYIL JEWELLERY LIMITED,,,,
BANCOINDIA,BANCO PRODUCTS (I) LIMITED,BANCO PRODUCTS (I) LIMITED,,,,
JSFB,JANA SMALL FINANCE BANK LIMITED,JANA SMALL FINANCE BANK LIMITED,,,,
JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,,,,
HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED,HEMISPHERE PROPERTIES INDIA LIMITED,,,,
MTARTECH,MTAR TECHNOLOGIES LIMITED,MTAR TECHNOLOGIES LIMITED,,,,
NPST,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,,,,
ORIENTELEC,ORIENT ELECTRIC LIMITED,ORIENT ELECTRIC LIMITED,,,,
MANORAMA,MANORAMA INDUSTRIES LIMITED,MANORAMA INDUSTRIES LIMITED,,,,
MSTCLTD,MSTC LIMITED,MSTC LIMITED,,,,
PAISALO,PAISALO DIGITAL LIMITED,PAISALO DIGITAL LIMITED,,,,
KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED,KIRLOSKAR INDUSTRIES LIMITED,,,,
OPTIEMUS,OPTIEMUS INFRACOM LIMITED,OPTIEMUS INFRACOM LIMITED,,,,
ANUP,THE ANUP ENGINEERING LIMITED,THE ANUP ENGINEERING LIMITED,,,,
EIEL,ENVIRO INFRA ENGINEERS LIMITED,ENVIRO INFRA ENGINEERS LIMITED,,,,
BBL,BHARAT BIJLEE LIMITED,BHARAT BIJLEE LIMITED,,,,
DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED,DYNAMATIC TECHNOLOGIES LIMITED,,,,
MASFIN,MAS FINANCIAL SERVICES LIMITED,MAS FINANCIAL SERVICES LIMITED,,,,
HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,HEIDELBERGCEMENT INDIA LIMITED,,,,
ZAGGLE,ZAGGLE PREPAID OCEAN SERVICES LIMITED,ZAGGLE PREPAID OCEAN SERVICES LIMITED,,,,
HERITGFOOD,HERITAGE FOODS LIMITED,HERITAGE FOODS LIMITED,,,,
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,VAIBHAV GLOBAL LIMITED,,,,
KSCL,KAVERI SEED COMPANY LIMITED,KAVERI SEED COMPANY LIMITED,,,,
TEAMLEASE,TEAMLEASE SERVICES LIMITED,TEAMLEASE SERVICES LIMITED,,,,
CARTRADE,CARTRADE TECH LIMITED,CARTRADE TECH LIMITED,,,,
RBA,RESTAURANT BRANDS ASIA LIMITED,RESTAURANT BRANDS ASIA LIMITED,,,,
NEOGEN,NEOGEN CHEMICALS LIMITED,NEOGEN CHEMICALS LIMITED,,,,
SKIPPER,SKIPPER LIMITED,SKIPPER LIMITED,,,,
GANECOS,GANESHA ECOSPHERE LIMITED,GANESHA ECOSPHERE LIMITED,,,,
VRLLOG,VRL LOGISTICS LIMITED,VRL LOGISTICS LIMITED,,,,
AWFIS,AWFIS SPACE SOLUTIONS LIMITED,AWFIS SPACE SOLUTIONS LIMITED,,,,
BOROLTD,BOROSIL LIMITED,BOROSIL LIMITED,,,,
GOPAL,GOPAL SNACKS LIMITED,GOPAL SNACKS LIMITED,,,,
UTKARSHBNK,UTKARSH SMALL FINANCE BANK LIMITED,UTKARSH SMALL FINANCE BANK LIMITED,,,,
REFEX,REFEX INDUSTRIES LIMITED,REFEX INDUSTRIES LIMITED,,,,
E2E,E2E NETWORKS LIMITED,E2E NETWORKS LIMITED,,,,
WONDERLA,WONDERLA HOLIDAYS LIMITED,WONDERLA HOLIDAYS LIMITED,,,,
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED,ADVANCED ENZYME TECHNOLOGIES LIMITED,,,,
BHARATRAS,BHARAT RASAYAN LIMITED,BHARAT RASAYAN LIMITED,,,,
SHAILY,SHAILY ENGINEERING PLASTICS LIMITED,SHAILY ENGINEERING PLASTICS LIMITED,,,,
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED,BAJAJ HINDUSTHAN SUGAR LIMITED,,,,
UNICHEMLAB,UNICHEM LABORATORIES LIMITED,UNICHEM LABORATORIES LIMITED,,,,
ORISSAMINE,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,,,,
PATELENG,PATEL ENGINEERING LIMITED,PATEL ENGINEERING LIMITED,,,,
YATHARTH,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,,,,
HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED,HARSHA ENGINEERS INTERNATIONAL LIMITED,,,,
NOCIL,NOCIL LIMITED,NOCIL LIMITED,,,,
GATEWAY,GATEWAY DISTRIPARKS LIMITED,GATEWAY DISTRIPARKS LIMITED,,,,
ROSSARI,ROSSARI BIOTECH LIMITED,ROSSARI BIOTECH LIMITED,,,,
JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED,JAMNA AUTO INDUSTRIES LIMITED,,,,
SUPRIYA,SUPRIYA LIFESCIENCE LIMITED,SUPRIYA LIFESCIENCE LIMITED,,,,
AARTIDRUGS,AARTI DRUGS LIMITED,AARTI DRUGS LIMITED,,,,
WEBELSOLAR,WEBSOL ENERGY SYSTEM LIMITED,WEBSOL ENERGY SYSTEM LIMITED,,,,
JISLJALEQS,JAIN IRRIGATION SYSTEMS LIMITED,JAIN IRRIGATION SYSTEMS LIMITED,,,,
THYROCARE,THYROCARE TECHNOLOGIES LIMITED,THYROCARE TECHNOLOGIES LIMITED,,,,
PITTIENG,PITTI ENGINEERING LIMITED,PITTI ENGINEERING LIMITED,,,,
PGIL,PEARL GLOBAL INDUSTRIES LIMITED,PEARL GLOBAL INDUSTRIES LIMITED,,,,
RAMKY,RAMKY INFRASTRUCTURE LIMITED,RAMKY INFRASTRUCTURE LIMITED,,,,
JTEKTINDIA,JTEKT INDIA LIMITED,JTEKT INDIA LIMITED,,,,
STYRENIX,STYRENIX PERFORMANCE MATERIALS LIMITED,STYRENIX PERFORMANCE MATERIALS LIMITED,,,,
HIKAL,HIKAL LIMITED,HIKAL LIMITED,,,,
UFLEX,UFLEX LIMITED,UFLEX LIMITED,,,,
PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,,,,
GREENPANEL,GREENPANEL INDUSTRIES LIMITED,GREENPANEL INDUSTRIES LIMITED,,,,
SHANTIGEAR,SHANTHI GEARS LIMITED,SHANTHI GEARS LIMITED,,,,
SUBROS,SUBROS LIMITED,SUBROS LIMITED,,,,
BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED,BOMBAY DYEING & MFG COMPANY LIMITED,,,,
EMSLIMITED,EMS LIMITED,EMS LIMITED,,,,
INNOVACAP,INNOVA CAPTAB LIMITED,INNOVA CAPTAB LIMITED,,,,
MOBIKWIK,ONE MOBIKWIK SYSTEMS LIMITED,ONE MOBIKWIK SYSTEMS LIMITED,,,,
SUNCLAY,SUNDARAM CLAYTON LIMITED,SUNDARAM CLAYTON LIMITED,,,,
JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED,JAYASWAL NECO INDUSTRIES LIMITED,,,,
GREENPLY,GREENPLY INDUSTRIES LIMITED,GREENPLY INDUSTRIES LIMITED,,,,
BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED,BALMER LAWRIE & COMPANY LIMITED,,,,
IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LIMITED,IMAGICAAWORLD ENTERTAINMENT LIMITED,,,,
SEQUENT,SEQUENT SCIENTIFIC LIMITED,SEQUENT SCIENTIFIC LIMITED,,,,
ORIANA,ORIANA POWER LIMITED,ORIANA POWER LIMITED,,,,
BANARISUG,BANNARI AMMAN SUGARS LIMITED,BANNARI AMMAN SUGARS LIMITED,,,,
SAMHI,SAMHI HOTELS LIMITED,SAMHI HOTELS LIMITED,,,,
FEDFINA,FEDBANK FINANCIAL SERVICES LIMITED,FEDBANK FINANCIAL SERVICES LIMITED,,,,
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED,,,,
EXICOM,EXICOM TELE-SYSTEMS LIMITED,EXICOM TELE-SYSTEMS LIMITED,,,,
GREAVESCOT,GREAVES COTTON LIMITED,GREAVES COTTON LIMITED,,,,
AVALON,AVALON TECHNOLOGIES LIMITED,AVALON TECHNOLOGIES LIMITED,,,,
LGBBROSLTD,LG BALAKRISHNAN & BROS LIMITED,LG BALAKRISHNAN & BROS LIMITED,,,,
MEDIASSIST,MEDI ASSIST HEALTHCARE SERVICES LIMITED,MEDI ASSIST HEALTHCARE SERVICES LIMITED,,,,
AVANTEL,AVANTEL LIMITED,AVANTEL LIMITED,,,,
SKYGOLD,SKY GOLD LIMITED,SKY GOLD LIMITED,,,,
PFOCUS,PRIME FOCUS LIMITED,PRIME FOCUS LIMITED,,,,
ISMTLTD,ISMT LIMITED             ,ISMT LIMITED             ,,,,
SUNFLAG,SUNFLAG IRON AND STEEL COMPANY LIMITED,SUNFLAG IRON AND STEEL COMPANY LIMITED,,,,
FCL,FINEOTEX CHEMICAL LIMITED,FINEOTEX CHEMICAL LIMITED,,,,
MOREPENLAB,MOREPEN LABORATORIES LIMITED,MOREPEN LABORATORIES LIMITED,,,,
NORTHARC,NORTHERN ARC CAPITAL LIMITED,NORTHERN ARC CAPITAL LIMITED,,,,
VENUSPIPES,VENUS PIPES & TUBES LIMITED,VENUS PIPES & TUBES LIMITED,,,,
V2RETAIL,V2 RETAIL LIMITED,V2 RETAIL LIMITED,,,,
GUFICBIO,GUFIC BIOSCIENCES LIMITED,GUFIC BIOSCIENCES LIMITED,,,,
JTLIND,JTL INDUSTRIES LIMITED,JTL INDUSTRIES LIMITED,,,,
FIEMIND,FIEM INDUSTRIES LIMITED,FIEM INDUSTRIES LIMITED,,,,
CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED,CIGNITI TECHNOLOGIES LIMITED,,,,
WSTCSTPAPR,WEST COAST PAPER MILLS LIMITED,WEST COAST PAPER MILLS LIMITED,,,,
IMFA,INDIAN METALS & FERRO ALLOYS LIMITED,INDIAN METALS & FERRO ALLOYS LIMITED,,,,
TCIEXP,TCI EXPRESS LIMITED,TCI EXPRESS LIMITED,,,,
KKCL,KEWAL KIRAN CLOTHING LIMITED,KEWAL KIRAN CLOTHING LIMITED,,,,
KPEL,K.P. ENERGY LIMITED,K.P. ENERGY LIMITED,,,,
JSLL,JEENA SIKHO LIFECARE LIMITED,JEENA SIKHO LIFECARE LIMITED,,,,
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED,GOKUL AGRO RESOURCES LIMITED,,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,,,,
SOTL,SAVITA OIL TECHNOLOGIES LIMITED,SAVITA OIL TECHNOLOGIES LIMITED,,,,
SULA,SULA VINEYARDS LIMITED,SULA VINEYARDS LIMITED,,,,
JNKINDIA,JNK INDIA LIMITED,JNK INDIA LIMITED,,,,
DCBBANK,DCB BANK LIMITED,DCB BANK LIMITED,,,,
DCXINDIA,DCX SYSTEMS LIMITED,DCX SYSTEMS LIMITED,,,,
VSTTILLERS,V.S.T TILLERS TRACTORS LIMITED,V.S.T TILLERS TRACTORS LIMITED,,,,
INDIAGLYCO,INDIA GLYCOLS LIMITED,INDIA GLYCOLS LIMITED,,,,
KSL,KALYANI STEELS LIMITED,KALYANI STEELS LIMITED,,,,
DHANI,DHANI SERVICES LIMITED,DHANI SERVICES LIMITED,,,,
KDDL,KDDL LIMITED,KDDL LIMITED,,,,
SPANDANA,SPANDANA SPHOORTY FINANCIAL LIMITED,SPANDANA SPHOORTY FINANCIAL LIMITED,,,,
VEEDOL,VEEDOL CORPORATION LIMITED,VEEDOL CORPORATION LIMITED,,,,
